service_date,facility_id,facility_name,facility_type,district_id,district_name,outpatient_visits,emergency_arrivals,admissions,discharges,avg_ed_wait_minutes,avg_outpatient_wait_minutes,ed_wait_variance_minutes,outpatient_wait_variance_minutes,bed_occupancy_rate,high_occupancy_flag,staff_hours,overtime_hours,patient_satisfaction_score,access_risk_score
2025-01-07,F003,East River Medical Center,Hospital,D02,East River,529,129,33,30,78,37,18,11,0.8501,N,979.5,6.2,73.4,39.8
2025-01-07,F004,Riverside Urgent Care,Urgent Care,D02,East River,243,104,5,5,57,31,19,11,0.514,N,286.0,0,76.6,38.1
2025-01-07,F005,Central City Health Campus,Hospital,D03,Central City,602,187,46,46,87,32,29,7,0.8032,N,1266.8,0,70.4,37.9
2025-01-07,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,209,0,0,0,0,24,0,3,0.0,N,87.8,0,83.0,28.4
2025-01-07,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,425,99,30,31,64,26,8,1,0.7823,N,811.8,0,80.9,20.8
2025-01-07,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,191,0,0,0,0,31,0,11,0.0,N,80.2,0,84.1,24.5
2025-01-07,F009,West Hills Hospital,Hospital,D05,West Hills,332,106,27,29,82,30,30,7,0.8691,N,643.3,7.5,73.1,25.8
2025-01-07,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,177,83,3,3,61,27,27,8,0.4357,N,213.4,0,75.9,29.5
2025-01-08,F001,North Borough General Hospital,Hospital,D01,North Borough,379,98,30,28,72,25,17,1,0.7509,N,729.5,0,77.5,23.2
2025-01-08,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,192,0,0,0,0,30,0,8,0.0,N,80.6,0,79.5,28.9
2025-01-08,F003,East River Medical Center,Hospital,D02,East River,539,136,35,32,75,38,15,12,0.8135,N,999.7,0,77.4,38.5
2025-01-08,F004,Riverside Urgent Care,Urgent Care,D02,East River,245,97,6,6,62,29,24,9,0.5622,N,284.5,0,78.2,41.7
2025-01-08,F005,Central City Health Campus,Hospital,D03,Central City,624,159,50,51,65,30,7,5,0.8417,N,1268.2,6.9,77.5,28.1
2025-01-08,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,252,0,0,0,0,26,0,5,0.0,N,105.8,0,85.0,30.2
2025-01-08,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,415,101,25,25,66,28,10,3,0.7914,N,788.2,0,74.8,25.5
2025-01-08,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,198,0,0,0,0,28,0,8,0.0,N,83.2,0,80.6,22.9
2025-01-08,F009,West Hills Hospital,Hospital,D05,West Hills,262,81,26,25,70,26,18,3,0.8166,N,577.0,0,74.5,23.4
2025-01-08,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,182,70,3,3,57,25,23,6,0.4067,N,203.8,0,80.7,24.0
2025-01-09,F001,North Borough General Hospital,Hospital,D01,North Borough,340,111,29,28,80,32,25,8,0.8425,N,716.5,3.4,77.9,28.5
2025-01-09,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,211,0,0,0,0,32,0,10,0.0,N,88.6,0,87.0,22.6
2025-01-09,F003,East River Medical Center,Hospital,D02,East River,448,139,44,45,85,24,25,-2,0.8319,N,988.5,2.4,79.5,34.5
2025-01-09,F004,Riverside Urgent Care,Urgent Care,D02,East River,257,101,4,4,69,24,31,4,0.4994,N,286.9,0,81.9,38.3
2025-01-09,F005,Central City Health Campus,Hospital,D03,Central City,732,234,66,69,99,37,41,12,0.7997,N,1462.9,0,73.9,39.7
2025-01-09,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,229,0,0,0,0,27,0,6,0.0,N,96.2,0,83.5,27.6
2025-01-09,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,385,112,37,35,74,31,18,6,0.7802,N,830.2,0,68.0,27.4
2025-01-09,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,199,0,0,0,0,26,0,6,0.0,N,83.6,0,83.9,22.0
2025-01-09,F009,West Hills Hospital,Hospital,D05,West Hills,320,105,30,26,90,27,38,4,0.811,N,647.8,0,76.3,26.4
2025-01-09,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,175,69,4,4,60,24,26,5,0.4375,N,203.0,0,78.9,26.0
2025-01-10,F001,North Borough General Hospital,Hospital,D01,North Borough,356,80,24,26,69,30,14,6,0.7473,N,675.8,0,77.2,23.7
2025-01-10,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,203,0,0,0,0,27,0,5,0.0,N,85.3,0,84.0,25.2
2025-01-10,F003,East River Medical Center,Hospital,D02,East River,512,145,50,54,74,40,14,14,0.8582,N,1053.3,9.8,74.3,37.6
2025-01-10,F004,Riverside Urgent Care,Urgent Care,D02,East River,255,100,5,5,68,28,30,8,0.4046,N,288.9,0,77.1,40.4
2025-01-10,F005,Central City Health Campus,Hospital,D03,Central City,569,185,49,46,91,28,33,3,0.8473,N,1258.7,6.7,71.4,35.7
2025-01-10,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,240,0,0,0,0,36,0,15,0.0,N,100.8,0,83.1,35.0
2025-01-10,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,369,122,43,46,78,26,22,1,0.8262,N,854.9,1.2,77.2,25.7
2025-01-10,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,186,0,0,0,0,31,0,11,0.0,N,78.1,0,81.5,22.4
2025-01-10,F009,West Hills Hospital,Hospital,D05,West Hills,298,85,27,25,67,26,15,3,0.8459,N,604.6,3.6,70.3,19.9
2025-01-10,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,177,77,6,6,63,26,29,7,0.3465,N,219.7,0,76.3,26.0
2025-01-11,F001,North Borough General Hospital,Hospital,D01,North Borough,293,70,19,17,71,31,16,7,0.8583,N,611.6,5.8,74.7,31.5
2025-01-11,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,176,0,0,0,0,34,0,12,0.0,N,73.9,0,78.0,25.5
2025-01-11,F003,East River Medical Center,Hospital,D02,East River,404,117,30,32,68,32,8,6,0.8833,N,887.4,11.1,76.5,36.6
2025-01-11,F004,Riverside Urgent Care,Urgent Care,D02,East River,210,83,5,5,66,15,28,-5,0.5821,N,248.0,0,75.9,40.4
2025-01-11,F005,Central City Health Campus,Hospital,D03,Central City,497,154,40,39,69,32,11,7,0.8269,N,1153.7,1.6,76.7,32.6
2025-01-11,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,183,0,0,0,0,24,0,3,0.0,N,76.9,0,79.8,27.1
2025-01-11,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,388,119,42,44,77,35,21,10,0.7954,N,858.5,0,72.7,29.9
2025-01-11,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,151,0,0,0,0,11,0,-9,0.0,N,63.4,0,90.8,19.9
2025-01-11,F009,West Hills Hospital,Hospital,D05,West Hills,254,84,24,22,65,24,13,1,0.7894,N,567.5,0,77.7,22.2
2025-01-11,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,146,68,2,2,68,22,34,3,0.407,N,178.1,0,76.1,25.2
2025-01-12,F001,North Borough General Hospital,Hospital,D01,North Borough,367,94,29,29,73,34,18,10,0.8687,N,715.2,9.1,77.6,31.6
2025-01-12,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,149,0,0,0,0,29,0,7,0.0,N,62.6,0,82.3,21.5
2025-01-12,F003,East River Medical Center,Hospital,D02,East River,382,122,30,30,66,31,6,5,0.7917,N,880.0,0,70.5,33.0
2025-01-12,F004,Riverside Urgent Care,Urgent Care,D02,East River,233,110,5,5,60,21,22,1,0.5271,N,286.2,0,77.1,35.3
2025-01-12,F005,Central City Health Campus,Hospital,D03,Central City,483,153,52,54,72,35,14,10,0.8236,N,1193.0,1.3,71.6,34.2
2025-01-12,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,195,0,0,0,0,27,0,6,0.0,N,81.9,0,80.0,29.2
2025-01-12,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,355,103,27,26,78,33,22,8,0.7673,N,765.1,0,72.6,29.6
2025-01-12,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,153,0,0,0,0,22,0,2,0.0,N,64.3,0,86.9,22.2
2025-01-12,F009,West Hills Hospital,Hospital,D05,West Hills,233,72,18,17,83,28,31,5,0.8226,N,520.5,0.3,77.0,26.2
2025-01-12,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,151,68,2,2,45,27,11,8,0.449,N,180.8,0,84.4,23.9
2025-01-13,F001,North Borough General Hospital,Hospital,D01,North Borough,460,124,36,36,84,32,29,8,0.8626,N,822.8,9.4,79.8,29.5
2025-01-13,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,228,0,0,0,0,26,0,4,0.0,N,95.8,0,82.6,25.0
2025-01-13,F003,East River Medical Center,Hospital,D02,East River,639,177,52,51,97,35,37,9,0.8396,N,1161.6,4.8,74.7,41.7
2025-01-13,F004,Riverside Urgent Care,Urgent Care,D02,East River,295,137,6,6,77,26,39,6,0.4921,N,350.0,0,70.7,41.2
2025-01-13,F005,Central City Health Campus,Hospital,D03,Central City,622,154,40,35,90,33,32,8,0.7549,N,1222.4,0,73.6,36.7
2025-01-13,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,250,0,0,0,0,24,0,3,0.0,N,105.0,0,85.8,26.4
2025-01-13,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,520,121,40,37,76,36,20,11,0.7783,N,925.0,0,77.3,27.5
2025-01-13,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,227,0,0,0,0,26,0,6,0.0,N,95.3,0,81.7,21.4
2025-01-13,F009,West Hills Hospital,Hospital,D05,West Hills,322,103,25,25,69,33,17,10,0.8202,N,627.0,0.0,76.6,25.8
2025-01-13,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,200,87,6,6,54,33,20,14,0.431,N,241.8,0,80.6,25.8
2025-01-14,F001,North Borough General Hospital,Hospital,D01,North Borough,398,91,25,24,75,31,20,7,0.8178,N,713.4,0,77.2,27.9
2025-01-14,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,222,0,0,0,0,25,0,3,0.0,N,93.2,0,83.4,23.4
2025-01-14,F003,East River Medical Center,Hospital,D02,East River,536,151,40,40,86,36,26,10,0.8444,N,1032.2,7.4,72.7,39.1
2025-01-14,F004,Riverside Urgent Care,Urgent Care,D02,East River,250,115,7,7,66,39,28,19,0.4,N,308.4,0,72.4,42.3
2025-01-14,F005,Central City Health Campus,Hospital,D03,Central City,615,169,43,45,82,31,24,6,0.8724,N,1244.8,16.5,76.1,32.5
2025-01-14,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,253,0,0,0,0,21,0,0,0.0,N,106.3,0,87.5,26.7
2025-01-14,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,493,153,49,45,92,37,36,12,0.8243,N,976.5,1.2,72.9,36.0
2025-01-14,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,183,0,0,0,0,20,0,0,0.0,N,76.9,0,78.8,21.7
2025-01-14,F009,West Hills Hospital,Hospital,D05,West Hills,336,101,25,27,73,25,21,2,0.847,N,632.8,4.8,76.5,22.1
2025-01-14,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,199,76,4,4,66,18,32,-1,0.4993,N,222.8,0,76.9,24.5
2025-01-15,F001,North Borough General Hospital,Hospital,D01,North Borough,422,111,35,34,68,31,13,7,0.8416,N,785.5,3.8,78.8,29.9
2025-01-15,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,231,0,0,0,0,36,0,14,0.0,N,97.0,0,78.4,28.2
2025-01-15,F003,East River Medical Center,Hospital,D02,East River,505,145,47,48,88,29,28,3,0.7993,N,1037.5,0,74.3,38.8
2025-01-15,F004,Riverside Urgent Care,Urgent Care,D02,East River,274,111,8,8,68,23,30,3,0.4587,N,321.8,0,82.2,36.7
2025-01-15,F005,Central City Health Campus,Hospital,D03,Central City,608,193,49,44,75,26,17,1,0.8796,N,1287.8,15.2,75.4,32.9
2025-01-15,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,226,0,0,0,0,28,0,7,0.0,N,94.9,0,84.5,26.0
2025-01-15,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,428,124,36,35,77,31,21,6,0.7926,N,861.2,0,75.2,27.0
2025-01-15,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,196,0,0,0,0,25,0,5,0.0,N,82.3,0,78.0,21.3
2025-01-15,F009,West Hills Hospital,Hospital,D05,West Hills,289,71,17,15,69,32,17,9,0.7998,N,546.4,0,74.6,26.6
2025-01-15,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,166,72,3,3,71,20,37,1,0.654,N,196.9,0,77.3,25.5
2025-01-16,F001,North Borough General Hospital,Hospital,D01,North Borough,409,117,34,34,84,34,29,10,0.7856,N,780.1,0,75.1,29.2
2025-01-16,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,214,0,0,0,0,30,0,8,0.0,N,89.9,0,85.3,26.3
2025-01-16,F003,East River Medical Center,Hospital,D02,East River,474,152,39,36,89,32,29,6,0.8707,N,995.1,11.9,72.3,40.6
2025-01-16,F004,Riverside Urgent Care,Urgent Care,D02,East River,284,122,7,7,63,30,25,10,0.4218,N,333.7,0,73.2,39.9
2025-01-16,F005,Central City Health Campus,Hospital,D03,Central City,661,176,44,40,76,34,18,9,0.7907,N,1280.8,0,76.5,33.9
2025-01-16,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,212,0,0,0,0,33,0,12,0.0,N,89.0,0,80.4,33.0
2025-01-16,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,521,124,35,35,94,33,38,8,0.8407,N,908.4,5.7,75.0,34.1
2025-01-16,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,204,0,0,0,0,24,0,4,0.0,N,85.7,0,87.9,23.4
2025-01-16,F009,West Hills Hospital,Hospital,D05,West Hills,376,85,28,26,70,36,18,13,0.8325,N,651.5,1.7,73.8,27.1
2025-01-16,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,193,83,2,2,73,24,39,5,0.5399,N,218.2,0,74.9,26.4
2025-01-17,F001,North Borough General Hospital,Hospital,D01,North Borough,410,98,33,32,64,23,9,-1,0.7632,N,758.6,0,75.4,26.4
2025-01-17,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,210,0,0,0,0,27,0,5,0.0,N,88.2,0,80.8,21.9
2025-01-17,F003,East River Medical Center,Hospital,D02,East River,497,167,53,57,94,38,34,12,0.8914,N,1078.0,19.2,73.4,42.6
2025-01-17,F004,Riverside Urgent Care,Urgent Care,D02,East River,265,112,4,4,70,21,32,1,0.3942,N,301.8,0,78.6,39.2
2025-01-17,F005,Central City Health Campus,Hospital,D03,Central City,550,176,48,43,83,33,25,8,0.8538,N,1235.7,11.2,78.2,34.3
2025-01-17,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,215,0,0,0,0,23,0,2,0.0,N,90.3,0,86.1,27.7
2025-01-17,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,440,135,33,30,75,28,19,3,0.8192,N,866.2,0,76.3,25.9
2025-01-17,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,233,0,0,0,0,30,0,10,0.0,N,97.9,0,79.7,24.9
2025-01-17,F009,West Hills Hospital,Hospital,D05,West Hills,307,99,24,24,80,28,28,5,0.8887,N,610.9,11.6,77.7,30.4
2025-01-17,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,168,73,4,4,63,23,29,4,0.4269,N,202.9,0,77.0,24.6
2025-01-18,F001,North Borough General Hospital,Hospital,D01,North Borough,356,86,30,32,69,29,14,5,0.7764,N,705.5,0,71.7,29.8
2025-01-18,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,164,0,0,0,0,26,0,4,0.0,N,68.9,0,83.1,23.1
2025-01-18,F003,East River Medical Center,Hospital,D02,East River,434,116,34,34,73,34,13,8,0.7945,N,918.9,0,76.5,34.7
2025-01-18,F004,Riverside Urgent Care,Urgent Care,D02,East River,199,85,5,5,52,26,14,6,0.5026,N,243.8,0,80.6,34.4
2025-01-18,F005,Central City Health Campus,Hospital,D03,Central City,536,126,34,35,78,26,20,1,0.706,N,1124.5,0,80.8,32.2
2025-01-18,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,181,0,0,0,0,22,0,1,0.0,N,76.0,0,83.0,27.7
2025-01-18,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,352,89,30,31,70,25,14,0,0.8241,N,762.2,0.7,77.3,23.7
2025-01-18,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,140,0,0,0,0,27,0,7,0.0,N,58.8,0,80.5,24.2
2025-01-18,F009,West Hills Hospital,Hospital,D05,West Hills,292,79,19,18,62,30,10,7,0.8282,N,563.6,1.3,75.3,21.8
2025-01-18,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,141,57,4,4,60,20,26,1,0.465,N,172.9,0,75.0,23.5
2025-01-19,F001,North Borough General Hospital,Hospital,D01,North Borough,307,98,25,26,70,28,15,4,0.8366,N,670.0,2.7,73.5,24.5
2025-01-19,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,127,0,0,0,0,27,0,5,0.0,N,53.3,0,76.2,26.6
2025-01-19,F003,East River Medical Center,Hospital,D02,East River,433,103,27,29,59,32,-1,6,0.8192,N,878.0,0,70.4,34.0
2025-01-19,F004,Riverside Urgent Care,Urgent Care,D02,East River,183,71,3,3,59,22,21,2,0.4876,N,213.7,0,76.9,34.9
2025-01-19,F005,Central City Health Campus,Hospital,D03,Central City,513,119,30,26,68,30,10,5,0.8467,N,1089.2,6.9,73.7,30.0
2025-01-19,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,173,0,0,0,0,26,0,5,0.0,N,72.7,0,75.4,31.7
2025-01-19,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,419,136,38,35,78,32,22,7,0.8591,N,875.6,9.8,72.5,28.8
2025-01-19,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,156,0,0,0,0,22,0,2,0.0,N,65.5,0,81.0,20.0
2025-01-19,F009,West Hills Hospital,Hospital,D05,West Hills,254,80,28,26,76,24,24,1,0.8559,N,579.7,6.3,73.6,22.4
2025-01-19,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,143,62,4,4,55,19,21,0,0.3767,N,178.8,0,79.4,21.6
