week_start_date,district_id,district_name,district_population,eligible_population,appointments_booked,missed_appointments,doses_administered,completion_rate,immunization_no_show_rate,tests_reported,positive_tests,positivity_rate,respiratory_related_ed_visits,public_health_pressure_index
2025-05-05,D02,East River,221500,99719,3931,332,3989,0.04,0.0845,2049,169,0.0825,38,46.7
2025-05-05,D03,Central City,312800,120621,4688,425,4805,0.0398,0.0907,2755,173,0.0628,41,39.8
2025-05-05,D04,South Lakes,169400,76821,2773,186,2870,0.0374,0.0671,1763,86,0.0488,20,28.3
2025-05-05,D05,West Hills,143700,61563,2539,190,2612,0.0424,0.0748,1502,89,0.0593,25,29.6
2025-05-12,D01,North Borough,184000,81251,3428,260,3503,0.0431,0.0758,1798,118,0.0656,22,34.7
2025-05-12,D02,East River,221500,101782,3665,346,3794,0.0373,0.0944,1781,109,0.0612,23,42.9
2025-05-12,D03,Central City,312800,144916,5677,494,5676,0.0392,0.087,2629,152,0.0578,33,38.2
2025-05-12,D04,South Lakes,169400,75758,3248,229,3369,0.0445,0.0705,1544,82,0.0531,16,29.4
2025-05-12,D05,West Hills,143700,66176,2995,193,3105,0.0469,0.0644,1103,60,0.0544,14,27.0
2025-05-19,D01,North Borough,184000,84125,3744,298,3761,0.0447,0.0796,1438,78,0.0542,22,32.4
2025-05-19,D02,East River,221500,107410,3807,355,3861,0.0359,0.0932,1707,104,0.0609,27,42.7
2025-05-19,D03,Central City,312800,132619,4670,395,4729,0.0357,0.0846,2635,186,0.0706,37,41.2
2025-05-19,D04,South Lakes,169400,81114,3088,232,3162,0.039,0.0751,1239,71,0.0573,17,31.3
2025-05-19,D05,West Hills,143700,70044,3094,202,3288,0.0469,0.0653,1069,54,0.0505,15,26.2
2025-05-26,D01,North Borough,184000,83794,3297,250,3451,0.0412,0.0758,1370,75,0.0547,21,32.2
2025-05-26,D02,East River,221500,109472,3823,344,3860,0.0353,0.09,1774,132,0.0744,32,45.6
2025-05-26,D03,Central City,312800,148575,5224,453,5328,0.0359,0.0867,3002,213,0.071,40,41.5
2025-05-26,D04,South Lakes,169400,81265,3408,243,3483,0.0429,0.0713,1287,88,0.0684,20,33.3
2025-05-26,D05,West Hills,143700,64934,2579,176,2707,0.0417,0.0682,1250,78,0.0624,18,29.6
2025-06-02,D01,North Borough,184000,82143,3167,223,3284,0.04,0.0704,1779,86,0.0483,20,30.1
2025-06-02,D02,East River,221500,107552,4026,343,4096,0.0381,0.0852,2264,151,0.0667,45,43.1
2025-06-02,D03,Central City,312800,151815,4713,403,4857,0.032,0.0855,3217,204,0.0634,53,39.7
2025-06-02,D04,South Lakes,169400,70447,2661,179,2750,0.039,0.0673,1500,77,0.0513,16,28.9
2025-06-02,D05,West Hills,143700,64872,2270,156,2354,0.0363,0.0687,1362,95,0.0698,19,31.7
2025-06-09,D01,North Borough,184000,84703,3180,247,3232,0.0382,0.0777,1880,106,0.0564,23,33.0
2025-06-09,D02,East River,221500,104365,4010,336,4173,0.04,0.0838,2282,113,0.0495,22,38.7
2025-06-09,D03,Central City,312800,149435,4994,389,5144,0.0344,0.0779,2769,159,0.0574,47,37.3
2025-06-09,D04,South Lakes,169400,80999,3204,228,3367,0.0416,0.0712,1665,78,0.0468,18,28.1
2025-06-09,D05,West Hills,143700,72700,2822,214,2952,0.0406,0.0758,1152,64,0.0556,14,28.9
2025-06-16,D01,North Borough,184000,86254,2756,212,2888,0.0335,0.0769,1643,88,0.0536,17,32.4
2025-06-16,D02,East River,221500,90588,2909,235,2986,0.033,0.0808,2293,145,0.0632,40,41.9
2025-06-16,D03,Central City,312800,125659,3838,334,3908,0.0311,0.087,2961,164,0.0554,48,38.0
2025-06-16,D04,South Lakes,169400,80541,2698,204,2784,0.0346,0.0756,1352,78,0.0577,18,31.6
2025-06-16,D05,West Hills,143700,60665,2478,177,2597,0.0428,0.0714,1273,70,0.055,14,28.2
2025-06-23,D01,North Borough,184000,92926,3498,265,3608,0.0388,0.0758,1917,118,0.0616,29,34.0
2025-06-23,D02,East River,221500,95276,3489,318,3524,0.037,0.0911,2029,153,0.0754,30,45.9
2025-06-23,D03,Central City,312800,140882,5155,415,5281,0.0375,0.0805,2720,196,0.0721,49,41.0
2025-06-23,D04,South Lakes,169400,82341,3401,241,3495,0.0424,0.0709,1391,72,0.0518,19,29.3
2025-06-23,D05,West Hills,143700,59740,2085,140,2167,0.0363,0.0671,1233,60,0.0487,17,26.4
2025-06-30,D01,North Borough,184000,87543,3498,257,3599,0.0411,0.0735,1632,92,0.0564,21,32.3
2025-06-30,D02,East River,221500,100746,3332,284,3434,0.0341,0.0852,2149,123,0.0572,24,41.0
2025-06-30,D03,Central City,312800,155903,5106,463,5190,0.0333,0.0907,2616,134,0.0512,30,37.4
2025-06-30,D04,South Lakes,169400,77199,3028,240,3077,0.0399,0.0793,1349,92,0.0682,23,34.3
2025-06-30,D05,West Hills,143700,62887,2665,206,2689,0.0428,0.0773,1162,87,0.0749,25,33.6
