week_start_date,district_id,district_name,age_group,eligible_population,appointments_booked,missed_appointments,walk_in_visits,doses_administered,completion_rate,immunization_no_show_rate,deprivation_index,elderly_pct
2025-02-03,D02,East River,75+,6008,243,21,17,239,0.0398,0.0864,0.58,0.119
2025-02-03,D03,Central City,0-4,8498,255,22,18,251,0.0295,0.0863,0.49,0.101
2025-02-03,D03,Central City,5-17,20703,662,54,89,697,0.0337,0.0816,0.49,0.101
2025-02-03,D03,Central City,18-44,55929,2038,181,150,2007,0.0359,0.0888,0.49,0.101
2025-02-03,D03,Central City,45-64,31120,1025,100,134,1059,0.034,0.0976,0.49,0.101
2025-02-03,D03,Central City,65-74,11472,751,55,59,755,0.0658,0.0732,0.49,0.101
2025-02-03,D03,Central City,75+,9878,423,34,30,419,0.0424,0.0804,0.49,0.101
2025-02-03,D04,South Lakes,0-4,4748,237,16,18,239,0.0503,0.0675,0.32,0.173
2025-02-03,D04,South Lakes,5-17,12137,422,32,37,427,0.0352,0.0758,0.32,0.173
2025-02-03,D04,South Lakes,18-44,32995,1518,132,132,1518,0.046,0.087,0.32,0.173
2025-02-03,D04,South Lakes,45-64,20349,829,62,66,833,0.0409,0.0748,0.32,0.173
2025-02-03,D04,South Lakes,65-74,6545,361,22,33,372,0.0568,0.0609,0.32,0.173
2025-02-03,D04,South Lakes,75+,5647,312,22,40,330,0.0584,0.0705,0.32,0.173
2025-02-03,D05,West Hills,0-4,3763,191,15,18,194,0.0516,0.0785,0.26,0.184
2025-02-03,D05,West Hills,5-17,11636,519,36,38,521,0.0448,0.0694,0.26,0.184
2025-02-03,D05,West Hills,18-44,22163,1009,68,146,1087,0.049,0.0674,0.26,0.184
2025-02-03,D05,West Hills,45-64,17075,826,72,99,853,0.05,0.0872,0.26,0.184
2025-02-03,D05,West Hills,65-74,6563,320,21,36,335,0.051,0.0656,0.26,0.184
2025-02-03,D05,West Hills,75+,3610,198,12,14,200,0.0554,0.0606,0.26,0.184
2025-02-10,D01,North Borough,0-4,4164,213,20,28,221,0.0531,0.0939,0.37,0.142
2025-02-10,D01,North Borough,5-17,12489,485,37,40,488,0.0391,0.0763,0.37,0.142
2025-02-10,D01,North Borough,18-44,31871,1322,116,177,1383,0.0434,0.0877,0.37,0.142
2025-02-10,D01,North Borough,45-64,22108,1124,77,149,1196,0.0541,0.0685,0.37,0.142
2025-02-10,D01,North Borough,65-74,8257,513,40,69,542,0.0656,0.078,0.37,0.142
2025-02-10,D01,North Borough,75+,4880,235,20,19,234,0.048,0.0851,0.37,0.142
2025-02-10,D02,East River,0-4,6117,243,20,30,253,0.0414,0.0823,0.58,0.119
2025-02-10,D02,East River,5-17,17982,714,75,76,715,0.0398,0.105,0.58,0.119
2025-02-10,D02,East River,18-44,35046,1686,108,140,1718,0.049,0.0641,0.58,0.119
2025-02-10,D02,East River,45-64,29069,1280,123,155,1312,0.0451,0.0961,0.58,0.119
2025-02-10,D02,East River,65-74,8571,464,38,50,476,0.0555,0.0819,0.58,0.119
2025-02-10,D02,East River,75+,5317,294,29,23,288,0.0542,0.0986,0.58,0.119
2025-02-10,D03,Central City,0-4,7259,275,25,28,278,0.0383,0.0909,0.49,0.101
2025-02-10,D03,Central City,5-17,22721,951,70,91,972,0.0428,0.0736,0.49,0.101
2025-02-10,D03,Central City,18-44,48694,2035,137,291,2189,0.045,0.0673,0.49,0.101
2025-02-10,D03,Central City,45-64,35944,1196,115,156,1237,0.0344,0.0962,0.49,0.101
2025-02-10,D03,Central City,65-74,14628,696,56,92,732,0.05,0.0805,0.49,0.101
2025-02-10,D03,Central City,75+,8889,411,33,31,409,0.046,0.0803,0.49,0.101
2025-02-10,D04,South Lakes,0-4,3935,191,13,23,201,0.0511,0.0681,0.32,0.173
2025-02-10,D04,South Lakes,5-17,13519,550,47,78,581,0.043,0.0855,0.32,0.173
2025-02-10,D04,South Lakes,18-44,30125,1500,96,105,1509,0.0501,0.064,0.32,0.173
2025-02-10,D04,South Lakes,45-64,18390,781,50,74,805,0.0438,0.064,0.32,0.173
2025-02-10,D04,South Lakes,65-74,6742,401,33,46,414,0.0614,0.0823,0.32,0.173
2025-02-10,D04,South Lakes,75+,4984,338,24,36,350,0.0702,0.071,0.32,0.173
2025-02-10,D05,West Hills,0-4,4455,240,17,16,239,0.0536,0.0708,0.26,0.184
2025-02-10,D05,West Hills,5-17,11751,410,28,58,440,0.0374,0.0683,0.26,0.184
2025-02-10,D05,West Hills,18-44,24881,1188,75,159,1272,0.0511,0.0631,0.26,0.184
2025-02-10,D05,West Hills,45-64,16783,565,44,40,561,0.0334,0.0779,0.26,0.184
2025-02-10,D05,West Hills,65-74,5196,367,26,33,374,0.072,0.0708,0.26,0.184
2025-02-10,D05,West Hills,75+,3669,234,17,33,250,0.0681,0.0726,0.26,0.184
2025-02-17,D01,North Borough,0-4,4812,256,16,23,263,0.0547,0.0625,0.37,0.142
2025-02-17,D01,North Borough,5-17,15010,740,58,53,735,0.049,0.0784,0.37,0.142
2025-02-17,D01,North Borough,18-44,28401,1255,97,113,1271,0.0448,0.0773,0.37,0.142
2025-02-17,D01,North Borough,45-64,23828,821,58,96,859,0.0361,0.0706,0.37,0.142
2025-02-17,D01,North Borough,65-74,7516,350,19,29,360,0.0479,0.0543,0.37,0.142
2025-02-17,D01,North Borough,75+,5834,315,24,35,326,0.0559,0.0762,0.37,0.142
2025-02-17,D02,East River,0-4,5516,214,20,21,215,0.039,0.0935,0.58,0.119
2025-02-17,D02,East River,5-17,17904,933,79,92,946,0.0528,0.0847,0.58,0.119
2025-02-17,D02,East River,18-44,43223,1990,154,185,2021,0.0468,0.0774,0.58,0.119
2025-02-17,D02,East River,45-64,28280,929,64,131,996,0.0352,0.0689,0.58,0.119
2025-02-17,D02,East River,65-74,10180,643,62,84,665,0.0653,0.0964,0.58,0.119
2025-02-17,D02,East River,75+,7253,319,30,47,336,0.0463,0.094,0.58,0.119
2025-02-17,D03,Central City,0-4,7673,381,36,54,399,0.052,0.0945,0.49,0.101
2025-02-17,D03,Central City,5-17,21867,1075,93,100,1082,0.0495,0.0865,0.49,0.101
2025-02-17,D03,Central City,18-44,48680,2192,180,259,2271,0.0467,0.0821,0.49,0.101
2025-02-17,D03,Central City,45-64,37523,1463,119,167,1511,0.0403,0.0813,0.49,0.101
2025-02-17,D03,Central City,65-74,12997,661,55,81,687,0.0529,0.0832,0.49,0.101
2025-02-17,D03,Central City,75+,9596,461,31,48,478,0.0498,0.0672,0.49,0.101
2025-02-17,D04,South Lakes,0-4,4491,199,16,22,205,0.0456,0.0804,0.32,0.173
2025-02-17,D04,South Lakes,5-17,11283,432,24,61,469,0.0416,0.0556,0.32,0.173
2025-02-17,D04,South Lakes,18-44,33980,1211,91,89,1209,0.0356,0.0751,0.32,0.173
2025-02-17,D04,South Lakes,45-64,22730,1051,75,126,1102,0.0485,0.0714,0.32,0.173
2025-02-17,D04,South Lakes,65-74,6367,364,20,36,380,0.0597,0.0549,0.32,0.173
2025-02-17,D04,South Lakes,75+,5419,388,38,36,386,0.0712,0.0979,0.32,0.173
2025-02-17,D05,West Hills,0-4,3399,146,8,14,152,0.0447,0.0548,0.26,0.184
2025-02-17,D05,West Hills,5-17,8708,336,23,25,338,0.0388,0.0685,0.26,0.184
2025-02-17,D05,West Hills,18-44,21104,1013,66,79,1026,0.0486,0.0652,0.26,0.184
2025-02-17,D05,West Hills,45-64,16766,752,55,65,762,0.0454,0.0731,0.26,0.184
2025-02-17,D05,West Hills,65-74,5628,303,21,24,306,0.0544,0.0693,0.26,0.184
2025-02-17,D05,West Hills,75+,3909,213,15,27,225,0.0576,0.0704,0.26,0.184
2025-02-24,D01,North Borough,0-4,4819,256,19,28,265,0.055,0.0742,0.37,0.142
2025-02-24,D01,North Borough,5-17,14892,760,60,104,804,0.054,0.0789,0.37,0.142
2025-02-24,D01,North Borough,18-44,31989,1645,93,118,1670,0.0522,0.0565,0.37,0.142
2025-02-24,D01,North Borough,45-64,22780,1134,75,144,1203,0.0528,0.0661,0.37,0.142
2025-02-24,D01,North Borough,65-74,8405,678,69,58,667,0.0794,0.1018,0.37,0.142
2025-02-24,D01,North Borough,75+,4546,257,17,35,275,0.0605,0.0661,0.37,0.142
2025-02-24,D02,East River,0-4,6618,348,33,32,347,0.0524,0.0948,0.58,0.119
2025-02-24,D02,East River,5-17,15019,816,83,96,829,0.0552,0.1017,0.58,0.119
2025-02-24,D02,East River,18-44,39993,1859,131,159,1887,0.0472,0.0705,0.58,0.119
2025-02-24,D02,East River,45-64,27728,1346,101,116,1361,0.0491,0.075,0.58,0.119
2025-02-24,D02,East River,65-74,10594,748,64,83,767,0.0724,0.0856,0.58,0.119
2025-02-24,D02,East River,75+,6755,371,27,50,394,0.0583,0.0728,0.58,0.119
2025-02-24,D03,Central City,0-4,7980,338,30,44,352,0.0441,0.0888,0.49,0.101
2025-02-24,D03,Central City,5-17,21088,1041,80,89,1050,0.0498,0.0768,0.49,0.101
2025-02-24,D03,Central City,18-44,53942,2663,236,399,2826,0.0524,0.0886,0.49,0.101
2025-02-24,D03,Central City,45-64,39932,1989,176,212,2025,0.0507,0.0885,0.49,0.101
2025-02-24,D03,Central City,65-74,13829,899,89,104,914,0.0661,0.099,0.49,0.101
2025-02-24,D03,Central City,75+,9091,544,48,78,574,0.0631,0.0882,0.49,0.101
2025-02-24,D04,South Lakes,0-4,4245,217,13,22,226,0.0532,0.0599,0.32,0.173
2025-02-24,D04,South Lakes,5-17,12527,645,49,70,666,0.0532,0.076,0.32,0.173
2025-02-24,D04,South Lakes,18-44,30820,1422,102,129,1449,0.047,0.0717,0.32,0.173
2025-02-24,D04,South Lakes,45-64,20758,926,77,120,969,0.0467,0.0832,0.32,0.173
2025-02-24,D04,South Lakes,65-74,7498,462,36,64,490,0.0654,0.0779,0.32,0.173
2025-02-24,D04,South Lakes,75+,5474,344,26,40,358,0.0654,0.0756,0.32,0.173
2025-02-24,D05,West Hills,0-4,3438,163,13,24,174,0.0506,0.0798,0.26,0.184
2025-02-24,D05,West Hills,5-17,10517,374,25,50,399,0.0379,0.0668,0.26,0.184
2025-02-24,D05,West Hills,18-44,29012,1062,75,119,1106,0.0381,0.0706,0.26,0.184
2025-02-24,D05,West Hills,45-64,14517,834,69,115,880,0.0606,0.0827,0.26,0.184
2025-02-24,D05,West Hills,65-74,5202,329,27,32,334,0.0642,0.0821,0.26,0.184
2025-02-24,D05,West Hills,75+,4562,276,17,40,299,0.0655,0.0616,0.26,0.184
2025-03-03,D01,North Borough,0-4,5195,213,19,22,216,0.0416,0.0892,0.37,0.142
2025-03-03,D01,North Borough,5-17,13118,520,44,64,540,0.0412,0.0846,0.37,0.142
2025-03-03,D01,North Borough,18-44,36371,1320,120,174,1374,0.0378,0.0909,0.37,0.142
2025-03-03,D01,North Borough,45-64,23937,1393,119,146,1420,0.0593,0.0854,0.37,0.142
2025-03-03,D01,North Borough,65-74,6407,338,29,33,342,0.0534,0.0858,0.37,0.142
2025-03-03,D01,North Borough,75+,5004,251,21,36,266,0.0532,0.0837,0.37,0.142
2025-03-03,D02,East River,0-4,5149,187,20,20,187,0.0363,0.107,0.58,0.119
2025-03-03,D02,East River,5-17,16393,730,62,81,749,0.0457,0.0849,0.58,0.119
2025-03-03,D02,East River,18-44,44089,1583,133,210,1660,0.0377,0.084,0.58,0.119
2025-03-03,D02,East River,45-64,27040,1204,104,176,1276,0.0472,0.0864,0.58,0.119
2025-03-03,D02,East River,65-74,10341,595,59,46,582,0.0563,0.0992,0.58,0.119
2025-03-03,D02,East River,75+,5783,382,35,41,388,0.0671,0.0916,0.58,0.119
2025-03-03,D03,Central City,0-4,7242,312,27,45,330,0.0456,0.0865,0.49,0.101
2025-03-03,D03,Central City,5-17,25502,1367,107,162,1422,0.0558,0.0783,0.49,0.101
2025-03-03,D03,Central City,18-44,58602,2479,192,197,2484,0.0424,0.0775,0.49,0.101
2025-03-03,D03,Central City,45-64,35633,1779,121,241,1899,0.0533,0.068,0.49,0.101
2025-03-03,D03,Central City,65-74,15339,1235,104,148,1279,0.0834,0.0842,0.49,0.101
2025-03-03,D03,Central City,75+,8387,465,40,35,460,0.0548,0.086,0.49,0.101
2025-03-03,D04,South Lakes,0-4,3998,229,17,25,237,0.0593,0.0742,0.32,0.173
2025-03-03,D04,South Lakes,5-17,11544,644,45,59,658,0.057,0.0699,0.32,0.173
2025-03-03,D04,South Lakes,18-44,28146,1319,103,190,1406,0.05,0.0781,0.32,0.173
2025-03-03,D04,South Lakes,45-64,19682,1148,83,114,1179,0.0599,0.0723,0.32,0.173
2025-03-03,D04,South Lakes,65-74,6051,436,31,34,439,0.0725,0.0711,0.32,0.173
2025-03-03,D04,South Lakes,75+,4408,364,25,48,387,0.0878,0.0687,0.32,0.173
2025-03-03,D05,West Hills,0-4,3202,128,7,10,131,0.0409,0.0547,0.26,0.184
2025-03-03,D05,West Hills,5-17,9344,355,25,49,379,0.0406,0.0704,0.26,0.184
2025-03-03,D05,West Hills,18-44,22411,1029,79,144,1094,0.0488,0.0768,0.26,0.184
2025-03-03,D05,West Hills,45-64,19074,1052,51,151,1152,0.0604,0.0485,0.26,0.184
2025-03-03,D05,West Hills,65-74,5559,304,23,33,314,0.0565,0.0757,0.26,0.184
2025-03-03,D05,West Hills,75+,3583,283,18,32,297,0.0829,0.0636,0.26,0.184
2025-03-10,D01,North Borough,0-4,5724,246,20,23,249,0.0435,0.0813,0.37,0.142
2025-03-10,D01,North Borough,5-17,12222,489,34,40,495,0.0405,0.0695,0.37,0.142
2025-03-10,D01,North Borough,18-44,32540,1885,144,164,1905,0.0585,0.0764,0.37,0.142
2025-03-10,D01,North Borough,45-64,18290,1065,95,155,1125,0.0615,0.0892,0.37,0.142
2025-03-10,D01,North Borough,65-74,6835,389,33,42,398,0.0582,0.0848,0.37,0.142
2025-03-10,D01,North Borough,75+,5118,401,30,42,413,0.0807,0.0748,0.37,0.142
2025-03-10,D02,East River,0-4,6569,271,26,40,285,0.0434,0.0959,0.58,0.119
2025-03-10,D02,East River,5-17,15737,553,55,79,577,0.0367,0.0995,0.58,0.119
2025-03-10,D02,East River,18-44,33938,1430,134,185,1481,0.0436,0.0937,0.58,0.119
2025-03-10,D02,East River,45-64,27743,1575,145,177,1607,0.0579,0.0921,0.58,0.119
2025-03-10,D02,East River,65-74,9768,753,67,109,795,0.0814,0.089,0.58,0.119
2025-03-10,D02,East River,75+,5514,277,25,26,278,0.0504,0.0903,0.58,0.119
2025-03-10,D03,Central City,0-4,8709,454,40,64,478,0.0549,0.0881,0.49,0.101
2025-03-10,D03,Central City,5-17,21322,1038,98,150,1090,0.0511,0.0944,0.49,0.101
2025-03-10,D03,Central City,18-44,48236,1841,165,157,1833,0.038,0.0896,0.49,0.101
2025-03-10,D03,Central City,45-64,39549,2109,157,226,2178,0.0551,0.0744,0.49,0.101
2025-03-10,D03,Central City,65-74,13135,681,56,92,717,0.0546,0.0822,0.49,0.101
2025-03-10,D03,Central City,75+,9573,503,43,61,521,0.0544,0.0855,0.49,0.101
2025-03-10,D04,South Lakes,0-4,4840,192,11,28,209,0.0432,0.0573,0.32,0.173
2025-03-10,D04,South Lakes,5-17,13368,592,44,42,590,0.0441,0.0743,0.32,0.173
