service_date,facility_id,outpatient_visits,emergency_arrivals,admissions,discharges,avg_ed_wait_minutes,avg_outpatient_wait_minutes,no_show_rate,bed_occupancy_rate,staff_hours,overtime_hours,patient_satisfaction_score,district_id,facility_type,ed_wait_variance_minutes,outpatient_wait_variance_minutes,high_occupancy_flag,access_risk_score
2025-01-07,F008,191,0,0,0,0,31,0.0698,0.0,80.2,0,84.1,D04,Community Clinic,0,11,N,24.5
2025-01-07,F009,332,106,27,29,82,30,0.0582,0.8691,643.3,7.5,73.1,D05,Hospital,30,7,N,25.8
2025-01-07,F010,177,83,3,3,61,27,0.0903,0.4357,213.4,0,75.9,D05,Urgent Care,27,8,N,29.5
2025-01-08,F001,379,98,30,28,72,25,0.0508,0.7509,729.5,0,77.5,D01,Hospital,17,1,N,23.2
2025-01-08,F002,192,0,0,0,0,30,0.1033,0.0,80.6,0,79.5,D01,Community Clinic,0,8,N,28.9
2025-01-08,F003,539,136,35,32,75,38,0.0791,0.8135,999.7,0,77.4,D02,Hospital,15,12,N,38.5
2025-01-08,F004,245,97,6,6,62,29,0.1004,0.5622,284.5,0,78.2,D02,Urgent Care,24,9,N,41.7
2025-01-08,F005,624,159,50,51,65,30,0.0596,0.8417,1268.2,6.9,77.5,D03,Hospital,7,5,N,28.1
2025-01-08,F006,252,0,0,0,0,26,0.0902,0.0,105.8,0,85.0,D03,Community Clinic,0,5,N,30.2
2025-01-08,F007,415,101,25,25,66,28,0.0898,0.7914,788.2,0,74.8,D04,Hospital,10,3,N,25.5
2025-01-08,F008,198,0,0,0,0,28,0.0674,0.0,83.2,0,80.6,D04,Community Clinic,0,8,N,22.9
2025-01-08,F009,262,81,26,25,70,26,0.0748,0.8166,577.0,0,74.5,D05,Hospital,18,3,N,23.4
2025-01-08,F010,182,70,3,3,57,25,0.0594,0.4067,203.8,0,80.7,D05,Urgent Care,23,6,N,24.0
2025-01-09,F001,340,111,29,28,80,32,0.0539,0.8425,716.5,3.4,77.9,D01,Hospital,25,8,N,28.5
2025-01-09,F002,211,0,0,0,0,32,0.0428,0.0,88.6,0,87.0,D01,Community Clinic,0,10,N,22.6
2025-01-09,F003,448,139,44,45,85,24,0.0722,0.8319,988.5,2.4,79.5,D02,Hospital,25,-2,N,34.5
2025-01-09,F004,257,101,4,4,69,24,0.0784,0.4994,286.9,0,81.9,D02,Urgent Care,31,4,N,38.3
2025-01-09,F005,732,234,66,69,99,37,0.0674,0.7997,1462.9,0,73.9,D03,Hospital,41,12,N,39.7
2025-01-09,F006,229,0,0,0,0,27,0.0645,0.0,96.2,0,83.5,D03,Community Clinic,0,6,N,27.6
2025-01-09,F007,385,112,37,35,74,31,0.0791,0.7802,830.2,0,68.0,D04,Hospital,18,6,N,27.4
2025-01-09,F008,199,0,0,0,0,26,0.0673,0.0,83.6,0,83.9,D04,Community Clinic,0,6,N,22.0
2025-01-09,F009,320,105,30,26,90,27,0.0592,0.811,647.8,0,76.3,D05,Hospital,38,4,N,26.4
2025-01-09,F010,175,69,4,4,60,24,0.0744,0.4375,203.0,0,78.9,D05,Urgent Care,26,5,N,26.0
2025-01-10,F001,356,80,24,26,69,30,0.0414,0.7473,675.8,0,77.2,D01,Hospital,14,6,N,23.7
2025-01-10,F002,203,0,0,0,0,27,0.0832,0.0,85.3,0,84.0,D01,Community Clinic,0,5,N,25.2
2025-01-10,F003,512,145,50,54,74,40,0.0656,0.8582,1053.3,9.8,74.3,D02,Hospital,14,14,N,37.6
2025-01-10,F004,255,100,5,5,68,28,0.0829,0.4046,288.9,0,77.1,D02,Urgent Care,30,8,N,40.4
2025-01-10,F005,569,185,49,46,91,28,0.0827,0.8473,1258.7,6.7,71.4,D03,Hospital,33,3,N,35.7
2025-01-10,F006,240,0,0,0,0,36,0.0926,0.0,100.8,0,83.1,D03,Community Clinic,0,15,N,35.0
2025-01-10,F007,369,122,43,46,78,26,0.0768,0.8262,854.9,1.2,77.2,D04,Hospital,22,1,N,25.7
2025-01-10,F008,186,0,0,0,0,31,0.0523,0.0,78.1,0,81.5,D04,Community Clinic,0,11,N,22.4
2025-01-10,F009,298,85,27,25,67,26,0.0514,0.8459,604.6,3.6,70.3,D05,Hospital,15,3,N,19.9
2025-01-10,F010,177,77,6,6,63,26,0.0617,0.3465,219.7,0,76.3,D05,Urgent Care,29,7,N,26.0
2025-01-11,F001,293,70,19,17,71,31,0.0994,0.8583,611.6,5.8,74.7,D01,Hospital,16,7,N,31.5
2025-01-11,F002,176,0,0,0,0,34,0.0598,0.0,73.9,0,78.0,D01,Community Clinic,0,12,N,25.5
2025-01-11,F003,404,117,30,32,68,32,0.0987,0.8833,887.4,11.1,76.5,D02,Hospital,8,6,N,36.6
2025-01-11,F004,210,83,5,5,66,15,0.116,0.5821,248.0,0,75.9,D02,Urgent Care,28,-5,N,40.4
2025-01-11,F005,497,154,40,39,69,32,0.0822,0.8269,1153.7,1.6,76.7,D03,Hospital,11,7,N,32.6
2025-01-11,F006,183,0,0,0,0,24,0.0713,0.0,76.9,0,79.8,D03,Community Clinic,0,3,N,27.1
2025-01-11,F007,388,119,42,44,77,35,0.0802,0.7954,858.5,0,72.7,D04,Hospital,21,10,N,29.9
2025-01-11,F008,151,0,0,0,0,11,0.0722,0.0,63.4,0,90.8,D04,Community Clinic,0,-9,N,19.9
2025-01-11,F009,254,84,24,22,65,24,0.0815,0.7894,567.5,0,77.7,D05,Hospital,13,1,N,22.2
2025-01-11,F010,146,68,2,2,68,22,0.061,0.407,178.1,0,76.1,D05,Urgent Care,34,3,N,25.2
2025-01-12,F001,367,94,29,29,73,34,0.0846,0.8687,715.2,9.1,77.6,D01,Hospital,18,10,N,31.6
2025-01-12,F002,149,0,0,0,0,29,0.0448,0.0,62.6,0,82.3,D01,Community Clinic,0,7,N,21.5
2025-01-12,F003,382,122,30,30,66,31,0.0762,0.7917,880.0,0,70.5,D02,Hospital,6,5,N,33.0
2025-01-12,F004,233,110,5,5,60,21,0.0809,0.5271,286.2,0,77.1,D02,Urgent Care,22,1,N,35.3
2025-01-12,F005,483,153,52,54,72,35,0.0792,0.8236,1193.0,1.3,71.6,D03,Hospital,14,10,N,34.2
2025-01-12,F006,195,0,0,0,0,27,0.0777,0.0,81.9,0,80.0,D03,Community Clinic,0,6,N,29.2
2025-01-12,F007,355,103,27,26,78,33,0.0829,0.7673,765.1,0,72.6,D04,Hospital,22,8,N,29.6
2025-01-12,F008,153,0,0,0,0,22,0.0839,0.0,64.3,0,86.9,D04,Community Clinic,0,2,N,22.2
2025-01-12,F009,233,72,18,17,83,28,0.0669,0.8226,520.5,0.3,77.0,D05,Hospital,31,5,N,26.2
2025-01-12,F010,151,68,2,2,45,27,0.0735,0.449,180.8,0,84.4,D05,Urgent Care,11,8,N,23.9
2025-01-13,F001,460,124,36,36,84,32,0.0547,0.8626,822.8,9.4,79.8,D01,Hospital,29,8,N,29.5
2025-01-13,F002,228,0,0,0,0,26,0.0853,0.0,95.8,0,82.6,D01,Community Clinic,0,4,N,25.0
2025-01-13,F003,639,177,52,51,97,35,0.0768,0.8396,1161.6,4.8,74.7,D02,Hospital,37,9,N,41.7
2025-01-13,F004,295,137,6,6,77,26,0.0799,0.4921,350.0,0,70.7,D02,Urgent Care,39,6,N,41.2
2025-01-13,F005,622,154,40,35,90,33,0.0739,0.7549,1222.4,0,73.6,D03,Hospital,32,8,N,36.7
2025-01-13,F006,250,0,0,0,0,24,0.066,0.0,105.0,0,85.8,D03,Community Clinic,0,3,N,26.4
2025-01-13,F007,520,121,40,37,76,36,0.0579,0.7783,925.0,0,77.3,D04,Hospital,20,11,N,27.5
2025-01-13,F008,227,0,0,0,0,26,0.0626,0.0,95.3,0,81.7,D04,Community Clinic,0,6,N,21.4
2025-01-13,F009,322,103,25,25,69,33,0.0709,0.8202,627.0,0.0,76.6,D05,Hospital,17,10,N,25.8
2025-01-13,F010,200,87,6,6,54,33,0.0504,0.431,241.8,0,80.6,D05,Urgent Care,20,14,N,25.8
2025-01-14,F001,398,91,25,24,75,31,0.0617,0.8178,713.4,0,77.2,D01,Hospital,20,7,N,27.9
2025-01-14,F002,222,0,0,0,0,25,0.0755,0.0,93.2,0,83.4,D01,Community Clinic,0,3,N,23.4
2025-01-14,F003,536,151,40,40,86,36,0.0711,0.8444,1032.2,7.4,72.7,D02,Hospital,26,10,N,39.1
2025-01-14,F004,250,115,7,7,66,39,0.0606,0.4,308.4,0,72.4,D02,Urgent Care,28,19,N,42.3
2025-01-14,F005,615,169,43,45,82,31,0.0617,0.8724,1244.8,16.5,76.1,D03,Hospital,24,6,N,32.5
2025-01-14,F006,253,0,0,0,0,21,0.0793,0.0,106.3,0,87.5,D03,Community Clinic,0,0,N,26.7
2025-01-14,F007,493,153,49,45,92,37,0.0957,0.8243,976.5,1.2,72.9,D04,Hospital,36,12,N,36.0
2025-01-14,F008,183,0,0,0,0,20,0.0878,0.0,76.9,0,78.8,D04,Community Clinic,0,0,N,21.7
2025-01-14,F009,336,101,25,27,73,25,0.0624,0.847,632.8,4.8,76.5,D05,Hospital,21,2,N,22.1
2025-01-14,F010,199,76,4,4,66,18,0.0697,0.4993,222.8,0,76.9,D05,Urgent Care,32,-1,N,24.5
2025-01-15,F001,422,111,35,34,68,31,0.0908,0.8416,785.5,3.8,78.8,D01,Hospital,13,7,N,29.9
2025-01-15,F002,231,0,0,0,0,36,0.075,0.0,97.0,0,78.4,D01,Community Clinic,0,14,N,28.2
2025-01-15,F003,505,145,47,48,88,29,0.0916,0.7993,1037.5,0,74.3,D02,Hospital,28,3,N,38.8
2025-01-15,F004,274,111,8,8,68,23,0.0708,0.4587,321.8,0,82.2,D02,Urgent Care,30,3,N,36.7
2025-01-15,F005,608,193,49,44,75,26,0.096,0.8796,1287.8,15.2,75.4,D03,Hospital,17,1,N,32.9
2025-01-15,F006,226,0,0,0,0,28,0.0473,0.0,94.9,0,84.5,D03,Community Clinic,0,7,N,26.0
2025-01-15,F007,428,124,36,35,77,31,0.0706,0.7926,861.2,0,75.2,D04,Hospital,21,6,N,27.0
2025-01-15,F008,196,0,0,0,0,25,0.0655,0.0,82.3,0,78.0,D04,Community Clinic,0,5,N,21.3
2025-01-15,F009,289,71,17,15,69,32,0.0812,0.7998,546.4,0,74.6,D05,Hospital,17,9,N,26.6
2025-01-15,F010,166,72,3,3,71,20,0.0649,0.654,196.9,0,77.3,D05,Urgent Care,37,1,N,25.5
2025-01-16,F001,409,117,34,34,84,34,0.0451,0.7856,780.1,0,75.1,D01,Hospital,29,10,N,29.2
2025-01-16,F002,214,0,0,0,0,30,0.0809,0.0,89.9,0,85.3,D01,Community Clinic,0,8,N,26.3
2025-01-16,F003,474,152,39,36,89,32,0.0938,0.8707,995.1,11.9,72.3,D02,Hospital,29,6,N,40.6
2025-01-16,F004,284,122,7,7,63,30,0.08,0.4218,333.7,0,73.2,D02,Urgent Care,25,10,N,39.9
2025-01-16,F005,661,176,44,40,76,34,0.0726,0.7907,1280.8,0,76.5,D03,Hospital,18,9,N,33.9
2025-01-16,F006,212,0,0,0,0,33,0.0869,0.0,89.0,0,80.4,D03,Community Clinic,0,12,N,33.0
2025-01-16,F007,521,124,35,35,94,33,0.0909,0.8407,908.4,5.7,75.0,D04,Hospital,38,8,N,34.1
2025-01-16,F008,204,0,0,0,0,24,0.0866,0.0,85.7,0,87.9,D04,Community Clinic,0,4,N,23.4
2025-01-16,F009,376,85,28,26,70,36,0.0681,0.8325,651.5,1.7,73.8,D05,Hospital,18,13,N,27.1
2025-01-16,F010,193,83,2,2,73,24,0.0536,0.5399,218.2,0,74.9,D05,Urgent Care,39,5,N,26.4
2025-01-17,F001,410,98,33,32,64,23,0.0952,0.7632,758.6,0,75.4,D01,Hospital,9,-1,N,26.4
2025-01-17,F002,210,0,0,0,0,27,0.0556,0.0,88.2,0,80.8,D01,Community Clinic,0,5,N,21.9
2025-01-17,F003,497,167,53,57,94,38,0.0783,0.8914,1078.0,19.2,73.4,D02,Hospital,34,12,N,42.6
2025-01-17,F004,265,112,4,4,70,21,0.0947,0.3942,301.8,0,78.6,D02,Urgent Care,32,1,N,39.2
2025-01-17,F005,550,176,48,43,83,33,0.0672,0.8538,1235.7,11.2,78.2,D03,Hospital,25,8,N,34.3
2025-01-17,F006,215,0,0,0,0,23,0.0808,0.0,90.3,0,86.1,D03,Community Clinic,0,2,N,27.7
2025-01-17,F007,440,135,33,30,75,28,0.0768,0.8192,866.2,0,76.3,D04,Hospital,19,3,N,25.9
2025-01-17,F008,233,0,0,0,0,30,0.0766,0.0,97.9,0,79.7,D04,Community Clinic,0,10,N,24.9
2025-01-17,F009,307,99,24,24,80,28,0.1072,0.8887,610.9,11.6,77.7,D05,Hospital,28,5,N,30.4
2025-01-17,F010,168,73,4,4,63,23,0.0608,0.4269,202.9,0,77.0,D05,Urgent Care,29,4,N,24.6
2025-01-18,F001,356,86,30,32,69,29,0.0961,0.7764,705.5,0,71.7,D01,Hospital,14,5,N,29.8
2025-01-18,F002,164,0,0,0,0,26,0.07,0.0,68.9,0,83.1,D01,Community Clinic,0,4,N,23.1
2025-01-18,F003,434,116,34,34,73,34,0.0664,0.7945,918.9,0,76.5,D02,Hospital,13,8,N,34.7
2025-01-18,F004,199,85,5,5,52,26,0.0691,0.5026,243.8,0,80.6,D02,Urgent Care,14,6,N,34.4
2025-01-18,F005,536,126,34,35,78,26,0.0848,0.706,1124.5,0,80.8,D03,Hospital,20,1,N,32.2
2025-01-18,F006,181,0,0,0,0,22,0.0843,0.0,76.0,0,83.0,D03,Community Clinic,0,1,N,27.7
2025-01-18,F007,352,89,30,31,70,25,0.0781,0.8241,762.2,0.7,77.3,D04,Hospital,14,0,N,23.7
2025-01-18,F008,140,0,0,0,0,27,0.0824,0.0,58.8,0,80.5,D04,Community Clinic,0,7,N,24.2
2025-01-18,F009,292,79,19,18,62,30,0.0615,0.8282,563.6,1.3,75.3,D05,Hospital,10,7,N,21.8
2025-01-18,F010,141,57,4,4,60,20,0.0684,0.465,172.9,0,75.0,D05,Urgent Care,26,1,N,23.5
2025-01-19,F001,307,98,25,26,70,28,0.0536,0.8366,670.0,2.7,73.5,D01,Hospital,15,4,N,24.5
2025-01-19,F002,127,0,0,0,0,27,0.0952,0.0,53.3,0,76.2,D01,Community Clinic,0,5,N,26.6
2025-01-19,F003,433,103,27,29,59,32,0.0913,0.8192,878.0,0,70.4,D02,Hospital,-1,6,N,34.0
2025-01-19,F004,183,71,3,3,59,22,0.076,0.4876,213.7,0,76.9,D02,Urgent Care,21,2,N,34.9
2025-01-19,F005,513,119,30,26,68,30,0.0704,0.8467,1089.2,6.9,73.7,D03,Hospital,10,5,N,30.0
2025-01-19,F006,173,0,0,0,0,26,0.1024,0.0,72.7,0,75.4,D03,Community Clinic,0,5,N,31.7
2025-01-19,F007,419,136,38,35,78,32,0.0799,0.8591,875.6,9.8,72.5,D04,Hospital,22,7,N,28.8
2025-01-19,F008,156,0,0,0,0,22,0.0657,0.0,65.5,0,81.0,D04,Community Clinic,0,2,N,20.0
2025-01-19,F009,254,80,28,26,76,24,0.063,0.8559,579.7,6.3,73.6,D05,Hospital,24,1,N,22.4
2025-01-19,F010,143,62,4,4,55,19,0.0658,0.3767,178.8,0,79.4,D05,Urgent Care,21,0,N,21.6
2025-01-20,F001,477,124,36,39,75,36,0.0738,0.827,832.2,1.6,72.0,D01,Hospital,20,12,N,31.6
2025-01-20,F002,282,0,0,0,0,32,0.0933,0.0,118.4,0,82.1,D01,Community Clinic,0,10,N,28.6
2025-01-20,F003,620,136,39,37,87,33,0.0732,0.8122,1060.2,0,76.2,D02,Hospital,27,7,N,38.2
2025-01-20,F004,268,106,6,6,65,30,0.0698,0.5276,305.7,0,78.4,D02,Urgent Care,27,10,N,39.1
2025-01-20,F005,753,223,69,60,92,36,0.0803,0.8433,1476.0,9.1,78.2,D03,Hospital,34,11,N,39.2
2025-01-20,F006,279,0,0,0,0,32,0.0791,0.0,117.2,0,82.2,D03,Community Clinic,0,11,N,31.6
2025-01-20,F007,437,125,33,32,76,32,0.0724,0.8876,855.1,17.2,76.8,D04,Hospital,20,7,N,27.4
2025-01-20,F008,227,0,0,0,0,26,0.0703,0.0,95.3,0,84.0,D04,Community Clinic,0,6,N,22.3
2025-01-20,F009,412,117,32,28,90,32,0.0758,0.8994,717.8,13.1,72.8,D05,Hospital,38,9,N,30.6
2025-01-20,F010,219,91,6,6,49,29,0.0695,0.4284,256.1,0,80.4,D05,Urgent Care,15,10,N,25.2
2025-01-21,F001,416,114,40,35,77,31,0.0712,0.8693,805.1,10.3,78.3,D01,Hospital,22,7,N,29.5
2025-01-21,F002,225,0,0,0,0,31,0.0552,0.0,94.5,0,80.4,D01,Community Clinic,0,9,N,23.6
2025-01-21,F003,474,110,37,36,73,31,0.0763,0.8111,947.2,0,73.7,D02,Hospital,13,5,N,34.6
2025-01-21,F004,283,112,4,4,70,26,0.0993,0.4848,311.6,0,77.4,D02,Urgent Care,32,6,N,42.0
2025-01-21,F005,665,168,41,41,76,33,0.0656,0.825,1263.3,1.6,75.4,D03,Hospital,18,8,N,32.6
2025-01-21,F006,214,0,0,0,0,23,0.0753,0.0,89.9,0,86.4,D03,Community Clinic,0,2,N,27.1
2025-01-21,F007,472,129,44,41,78,31,0.0692,0.8899,922.2,18.0,73.9,D04,Hospital,22,6,N,27.0
2025-01-21,F008,192,0,0,0,0,29,0.0732,0.0,80.6,0,86.3,D04,Community Clinic,0,9,N,24.0
2025-01-21,F009,297,68,18,16,60,29,0.0616,0.8302,552.0,1.1,79.9,D05,Hospital,8,6,N,21.0
2025-01-21,F010,176,80,3,3,67,19,0.0612,0.5071,210.0,0,79.6,D05,Urgent Care,33,0,N,23.7
2025-01-22,F001,457,132,44,39,86,33,0.076,0.8562,860.8,8.8,75.1,D01,Hospital,31,9,N,32.9
2025-01-22,F002,211,0,0,0,0,25,0.0707,0.0,88.6,0,87.4,D01,Community Clinic,0,3,N,22.8
2025-01-22,F003,559,131,45,39,77,36,0.063,0.8152,1045.9,0,74.7,D02,Hospital,17,10,N,36.1
2025-01-22,F004,304,116,4,4,61,18,0.0992,0.4435,327.0,0,78.7,D02,Urgent Care,23,-2,N,37.3
2025-01-22,F005,721,166,50,49,83,29,0.0758,0.7783,1328.2,0,76.7,D03,Hospital,25,4,N,33.5
2025-01-22,F006,208,0,0,0,0,26,0.0825,0.0,87.4,0,86.3,D03,Community Clinic,0,5,N,29.3
2025-01-22,F007,480,108,35,37,78,33,0.0666,0.8097,870.6,0,76.7,D04,Hospital,22,8,N,27.6
2025-01-22,F008,190,0,0,0,0,25,0.0525,0.0,79.8,0,80.3,D04,Community Clinic,0,5,N,19.8
2025-01-22,F009,335,103,29,26,74,32,0.074,0.8448,650.1,4.9,72.8,D05,Hospital,22,9,N,26.9
2025-01-22,F010,192,81,5,5,59,21,0.0562,0.6089,227.8,0,78.4,D05,Urgent Care,25,2,N,22.2
2025-01-23,F001,381,90,29,29,70,30,0.0717,0.8265,719.0,0.9,78.2,D01,Hospital,15,6,N,27.6
2025-01-23,F002,185,0,0,0,0,26,0.0674,0.0,77.7,0,81.3,D01,Community Clinic,0,4,N,22.8
2025-01-23,F003,561,141,48,48,87,37,0.0837,0.8316,1068.5,3.8,72.8,D02,Hospital,27,11,N,41.2
